Contig Number,Accession,Species,Gene ID,Gene Name,E-value
XP_004870307.1,Q9Z160,Mus musculus,COG1,Conserved oligomeric Golgi complex subunit ,0
XP_004870300.1,P52292,Mus musculus,Kpna2,Importin subunit alpha-2 OS=Homo sapiens ,0
XP_004870299.1,P52292,Mus musculus,Kpna2,Importin subunit alpha-2 OS=Homo sapiens ,0
XP_004870286.1,Q62875,Mus musculus,MCA32,Mast cell antigen 32 OS=Rattus norvegicus ,1.00E-31
XP_004870267.1,O35490,Mus musculus,BHMT,Betaine--homocysteine S-methyltransferase ,0
XP_004870266.1,O35490,Mus musculus,BHMT,Betaine--homocysteine S-methyltransferase ,0
XP_004870262.1,Q91WS4,Mus musculus,Bhmt2,Betaine--homocysteine S-methyltransferase ,1.00E-128
XP_004870248.1,Q8K021,Mus musculus,SCAMP1,Secretory carrier-associated membrane protein ,0
XP_004870247.1,P62850,Mus musculus,Rps24,40S ribosomal protein S24 OS=Rattus norvegicus ,2.00E-20
XP_004870244.1,Q6PEC1,Mus musculus,Tbca,Tubulin-specific chaperone A OS=Rattus norvegicus ,4.00E-41
XP_004870227.1,P55085,Mus musculus,F2rl1,Proteinase-activated receptor 2 OS=Homo ,0
XP_004870213.1,Q16790,Mus musculus,CA12,Carbonic anhydrase 9 OS=Homo sapiens GN=CA9 ,7.00E-50
XP_004870212.1,Q16790,Mus musculus,CA12,Carbonic anhydrase 9 OS=Homo sapiens GN=CA9 ,5.00E-50
XP_004870211.1,Q16790,Mus musculus,CA12,Carbonic anhydrase 9 OS=Homo sapiens GN=CA9 ,5.00E-50
XP_004870195.1,Q9Y490,Mus musculus,TLN1,Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3,0
XP_004870185.1,A6H8Z2,Mus musculus,C9orf128,Uncharacterized protein C9orf128 OS=Homo ,2.00E-91
XP_004870183.1,A6H8Z2,Mus musculus,HINT2,Uncharacterized protein C9orf128 OS=Homo ,2.00E-51
XP_004870171.1,P04973,Mus musculus,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,9.00E-78
XP_004870169.1,P04973,Mus musculus,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,7.00E-117
XP_004870167.1,P04973,Mus musculus,Clta,Clathrin light chain A OS=Bos taurus GN=CLTA ,4.00E-134
XP_004870164.1,Q91WG8,Mus musculus,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,4.00E-22
XP_004870163.1,Q91WG8,Mus musculus,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,4.00E-22
XP_004870160.1,Q91WG8,Mus musculus,neuC,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine ,4.00E-30
XP_004870132.1,Q8TD16,Mus musculus,Bicd2,Protein bicaudal D homolog 2 OS=Homo sapiens ,0
XP_004870131.1,Q8TD16,Mus musculus,Bicd2,Protein bicaudal D homolog 2 OS=Homo sapiens ,0
XP_004870126.1,Q58D91,Mus musculus,C9orf89,Bcl10-interacting CARD protein OS=Bos taurus ,3.00E-49
XP_004870124.1,P70617,Mus musculus,NINJ1,Ninjurin-1 OS=Rattus norvegicus GN=Ninj1 ,6.00E-53
XP_004870117.1,Q9HBU1,Mus musculus,Barx1,Homeobox protein BarH-like 1 OS=Homo sapiens ,3.00E-123
XP_004870114.1,Q96HU8,Mus musculus,Diras2,GTP-binding protein Di-Ras2 OS=Homo sapiens ,5.00E-131
XP_004870109.1,O19048,Mus musculus,Pcbp1,Poly(rC)-binding protein 1 OS=Oryctolagus ,0
XP_004870108.1,O19048,Mus musculus,Pcbp1,Poly(rC)-binding protein 1 OS=Oryctolagus ,0
XP_004870102.1,Q9UMS6,Mus musculus,SYNPO2L,Synaptopodin-2 OS=Homo sapiens GN=SYNPO2 ,1.00E-19
XP_004870101.1,Q9UMS6,Mus musculus,SYNPO2L,Synaptopodin-2 OS=Homo sapiens GN=SYNPO2 ,9.00E-20
XP_004870100.1,Q9UMS6,Mus musculus,SYNPO2L,Synaptopodin-2 OS=Homo sapiens GN=SYNPO2 ,9.00E-20
XP_004870090.1,Q5FYB0,Mus musculus,ARSB,Arylsulfatase J OS=Homo sapiens GN=ARSJ ,4.00E-180
XP_004870083.1,Q8R0S4,Mus musculus,CACNB4,Voltage-dependent L-type calcium channel ,0
XP_004870081.1,Q8R0S4,Mus musculus,CACNB4,Voltage-dependent L-type calcium channel ,0
XP_004870080.1,Q8R0S4,Mus musculus,CACNB4,Voltage-dependent L-type calcium channel ,0
XP_004870075.1,Q96PY5,Mus musculus,CG32138,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 ,3.00E-78
XP_004870074.1,Q96PY5,Mus musculus,CG32138,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 ,1.00E-78
XP_004870069.1,Q96PY5,Mus musculus,CG32138,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 ,3.00E-78
XP_004870068.1,Q96PY5,Mus musculus,CG32138,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 ,3.00E-78
XP_004870066.1,Q96PY5,Mus musculus,CG32138,Formin-like protein 2 OS=Homo sapiens GN=FMNL2 ,2.00E-78
XP_004870064.1,Q9R1C7,Mus musculus,PRPF40A,Pre-mRNA-processing factor 40 homolog A ,0
XP_004870057.1,Q86Y78,Mus musculus,LYPD6B,Ly6/PLAUR domain-containing protein 6 OS=Homo ,6.00E-33
XP_004870050.1,O60282,Mus musculus,Kif5c,Kinesin heavy chain isoform 5C OS=Homo ,0
XP_004870049.1,Q52LR7,Mus musculus,Epc2,Enhancer of polycomb homolog 2 OS=Homo sapiens ,0
XP_004870048.1,Q9P267,Mus musculus,MYO3A,Methyl-CpG-binding domain protein 5 OS=Homo ,0
XP_004870039.1,Q9Y2U8,Mus musculus,Cys1,Inner nuclear membrane protein Man1 OS=Homo ,5.00E-12
XP_004870025.1,O14901,Mus musculus,Klf11,Krueppel-like factor 11 OS=Homo sapiens ,0
XP_004870016.1,Q63081,Mus musculus,Pdia6,Protein disulfide-isomerase A6 OS=Rattus ,0
XP_004870005.1,Q7TSH7,Mus musculus,KCNF1,Potassium voltage-gated channel subfamily ,0
XP_004869979.1,Q8NGG2,Mus musculus,Olfr1094,Olfactory receptor 5T2 OS=Homo sapiens ,3.00E-155
XP_004869977.1,Q8VGR8,Mus musculus,Olfr1009,Olfactory receptor 1052 OS=Mus musculus ,2.00E-56
XP_004869975.1,Q8N127,Mus musculus,Olfr1020,Olfactory receptor 5AS1 OS=Homo sapiens ,9.00E-52
XP_004869970.1,Q8VFK7,Mus musculus,Olfr1019,Olfactory receptor 1020 OS=Mus musculus ,1.00E-125
XP_004869969.1,Q8NH69,Mus musculus,Olfr1019,Olfactory receptor 5W2 OS=Homo sapiens ,2.00E-125
XP_004869968.1,Q8NH69,Mus musculus,Olfr1019,Olfactory receptor 5W2 OS=Homo sapiens ,3.00E-108
XP_004869967.1,Q8NH69,Mus musculus,Olfr1019,Olfactory receptor 5W2 OS=Homo sapiens ,5.00E-98
XP_004869946.1,P0C617,Mus musculus,Olfr1038,Olfactory receptor 5AL1 OS=Homo sapiens ,3.00E-140
XP_004869942.1,Q96RB7,Mus musculus,Olfr1030,Olfactory receptor 5M11 OS=Homo sapiens ,7.00E-150
XP_004869936.1,Q8NGQ1,Mus musculus,Olfr1020,Olfactory receptor 9G4 OS=Homo sapiens ,1.00E-118
XP_004869934.1,Q8NGQ1,Mus musculus,Olfr1020,Olfactory receptor 9G4 OS=Homo sapiens ,1.00E-119
XP_004869932.1,Q8NGQ1,Mus musculus,Olfr1019,Olfactory receptor 9G4 OS=Homo sapiens ,6.00E-64
XP_004869928.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,5.00E-116
XP_004869927.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,2.00E-121
XP_004869926.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,1.00E-117
XP_004869925.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,3.00E-97
XP_004869924.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,7.00E-111
XP_004869923.1,Q8NH90,Mus musculus,Olfr1020,Olfactory receptor 5AK2 OS=Homo sapiens ,3.00E-118
XP_004869922.1,P49654,Mus musculus,PRG3,P2X purinoceptor 3 OS=Rattus norvegicus GN=P2rx3 ,7.00E-75
XP_004869920.1,A8MU46,Mus musculus,Smtnl1,Smoothelin-like protein 1 OS=Homo sapiens ,7.00E-96
XP_004869918.1,Q8VFK7,Mus musculus,Olfr1052,Olfactory receptor 1020 OS=Mus musculus ,2.00E-106
XP_004869879.1,P22059,Mus musculus,Osbp,Oxysterol-binding protein 1 OS=Homo sapiens ,0
XP_004869874.1,Q8NH69,Mus musculus,Olfr1019,Olfactory receptor 5W2 OS=Homo sapiens ,5.00E-112
XP_004869872.1,Q8NGG2,Mus musculus,Olfr1086,Olfactory receptor 5T2 OS=Homo sapiens ,1.00E-163
XP_004869871.1,Q8NG75,Mus musculus,Olfr1102,Olfactory receptor 5T1 OS=Homo sapiens ,1.00E-170
XP_004869870.1,Q8NGG2,Mus musculus,Olfr1102,Olfactory receptor 5T2 OS=Homo sapiens ,4.00E-146
XP_004869865.1,Q8NGG2,Mus musculus,Olfr1086,Olfactory receptor 5T2 OS=Homo sapiens ,3.00E-166
XP_004869864.1,Q8NG75,Mus musculus,Olfr1102,Olfactory receptor 5T1 OS=Homo sapiens ,5.00E-171
XP_004869861.1,Q8NH69,Mus musculus,Olfr1019,Olfactory receptor 5W2 OS=Homo sapiens ,5.00E-123
XP_004869856.1,P0C7N1,Mus musculus,Olfr1044,Olfactory receptor 8U8 OS=Homo sapiens ,0
XP_004869855.1,P0C617,Mus musculus,Olfr1038,Olfactory receptor 5AL1 OS=Homo sapiens ,1.00E-138
XP_004869854.1,P0C617,Mus musculus,Olfr1038,Olfactory receptor 5AL1 OS=Homo sapiens ,2.00E-140
XP_004869849.1,Q8NGQ1,Mus musculus,Olfr1020,Olfactory receptor 9G4 OS=Homo sapiens ,1.00E-118
XP_004869830.1,Q5XID5,Mus musculus,YPEL4,Protein yippee-like 4 OS=Rattus norvegicus ,5.00E-92
XP_004869829.1,Q5XID5,Mus musculus,YPEL4,Protein yippee-like 4 OS=Rattus norvegicus ,5.00E-92
XP_004869827.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869826.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869825.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869824.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869823.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869822.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869821.1,Q8VDZ4,Mus musculus,Zdhhc9,Probable palmitoyltransferase ZDHHC5 OS=Mus ,1.00E-58
XP_004869820.1,Q8C1S0,Mus musculus,MED19,Mediator of RNA polymerase II transcription ,2.00E-92
XP_004869819.1,Q8C1S0,Mus musculus,MED19,Mediator of RNA polymerase II transcription ,4.00E-97
XP_004869815.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869814.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869813.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869812.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869811.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869810.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869809.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869808.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869807.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869806.1,O60716,Mus musculus,Arvcf,Catenin delta-1 OS=Homo sapiens GN=CTNND1 ,0
XP_004869799.1,Q96JP5,Mus musculus,Zfp91,Zinc finger protein 91 homolog OS=Homo ,0
XP_004869798.1,O60711,Mus musculus,PXN,Leupaxin OS=Homo sapiens GN=LPXN PE=1 SV=1,1.00E-140
XP_004869797.1,O60711,Mus musculus,PXN,Leupaxin OS=Homo sapiens GN=LPXN PE=1 SV=1,6.00E-141
XP_004921258.1,Q6IB77,Mus musculus,GLYAT,Glycine N-acyltransferase OS=Homo sapiens ,2.00E-143
XP_004869795.1,Q9DCY0,Mus musculus,Keg1,Glycine N-acyltransferase-like protein Keg1 ,1.00E-109
XP_004869789.1,O77512,Mus musculus,GLYAT,Arylacetyl-CoA N-acyltransferase OS=Bos ,7.00E-151
XP_004869788.1,Q96PZ2,Mus musculus,dx,Protein FAM111A OS=Homo sapiens GN=FAM111A ,4.00E-49
XP_004869775.1,Q13277,Mus musculus,Stx3,Syntaxin-3 OS=Homo sapiens GN=STX3 PE=1 ,2.00E-167
XP_004869774.1,Q08849,Mus musculus,STX3,Syntaxin-3 OS=Rattus norvegicus GN=Stx3 PE=2 ,0
XP_004869773.1,Q08849,Mus musculus,STX3,Syntaxin-3 OS=Rattus norvegicus GN=Stx3 PE=2 ,0
XP_004869772.1,Q08849,Mus musculus,STX3,Syntaxin-3 OS=Rattus norvegicus GN=Stx3 PE=2 ,0
XP_004869766.1,P20490,Mus musculus,Ms4a2,High affinity immunoglobulin epsilon receptor ,1.00E-32
XP_004869765.1,P20490,Mus musculus,Ms4a2,High affinity immunoglobulin epsilon receptor ,8.00E-84
XP_004869764.1,P20490,Mus musculus,Ms4a2,High affinity immunoglobulin epsilon receptor ,1.00E-96
XP_004869757.1,Q6B0I6,Mus musculus,Kdm4d,Lysine-specific demethylase 4D OS=Homo ,3.00E-178
XP_004869753.1,Q96HW7,Mus musculus,Ints4,Integrator complex subunit 4 OS=Homo sapiens ,0
XP_004869751.1,Q9NUN7,Mus musculus,ODZ4,Alkaline ceramidase 3 OS=Homo sapiens GN=ACER3 ,0
XP_004869748.1,Q6N022,Mus musculus,odz4,Teneurin-4 OS=Homo sapiens GN=ODZ4 PE=2 ,0
XP_004869747.1,Q6N022,Mus musculus,odz4,Teneurin-4 OS=Homo sapiens GN=ODZ4 PE=2 ,0
XP_004869740.1,Q3URF8,Mus musculus,KCTD21,BTB/POZ domain-containing protein KCTD21 ,0
XP_004869737.1,Q3URF8,Mus musculus,KCTD21,BTB/POZ domain-containing protein KCTD21 ,0
XP_004869735.1,Q6P8H8,Mus musculus,CG4542,Probable dolichyl pyrophosphate Glc1Man9GlcNAc2 ,2.00E-122
XP_004869731.1,Q62264,Mus musculus,THRSP,Thyroid hormone-inducible hepatic protein ,2.00E-56
XP_004869730.1,Q62264,Mus musculus,THRSP,Thyroid hormone-inducible hepatic protein ,2.00E-56
XP_004869724.1,Q8NBQ7,Mus musculus,Aqp12,Aquaporin-11 OS=Homo sapiens GN=AQP11 PE=2 ,1.00E-14
XP_004869723.1,Q8NBQ7,Mus musculus,MYO3A,Aquaporin-11 OS=Homo sapiens GN=AQP11 PE=2 ,0
XP_004869720.1,O15484,Mus musculus,Capn5,Calpain-5 OS=Homo sapiens GN=CAPN5 PE=2 ,0
XP_004869719.1,O15484,Mus musculus,Capn5,Calpain-5 OS=Homo sapiens GN=CAPN5 PE=2 ,0
XP_004869718.1,O15484,Mus musculus,Capn5,Calpain-5 OS=Homo sapiens GN=CAPN5 PE=2 ,0
XP_004869717.1,P08523,Mus musculus,Omp,Olfactory marker protein OS=Rattus norvegicus ,6.00E-101
XP_004869716.1,Q13402,Mus musculus,ck,Myosin-VIIa OS=Homo sapiens GN=MYO7A PE=1 ,0
XP_004869715.1,Q13402,Mus musculus,ck,Myosin-VIIa OS=Homo sapiens GN=MYO7A PE=1 ,0
XP_004869714.1,Q13402,Mus musculus,ck,Myosin-VIIa OS=Homo sapiens GN=MYO7A PE=1 ,0
XP_004869710.1,Q9UJC3,Mus musculus,Hook1,Protein Hook homolog 1 OS=Homo sapiens ,0
XP_004869700.1,Q8WZ55,Mus musculus,Bsnd,Barttin OS=Homo sapiens GN=BSND PE=1 SV=1,3.00E-79
XP_004869699.1,Q8WZ55,Mus musculus,Bsnd,Barttin OS=Homo sapiens GN=BSND PE=1 SV=1,1.00E-98
XP_004869698.1,Q8WZ55,Mus musculus,Bsnd,Barttin OS=Homo sapiens GN=BSND PE=1 SV=1,9.00E-101
XP_004869697.1,Q8WZ55,Mus musculus,Bsnd,Barttin OS=Homo sapiens GN=BSND PE=1 SV=1,9.00E-101
XP_004869696.1,Q8WZ55,Mus musculus,Bsnd,Barttin OS=Homo sapiens GN=BSND PE=1 SV=1,9.00E-101
XP_004869690.1,O14495,Mus musculus,LPPR1,Lipid phosphate phosphohydrolase 3 OS=Homo ,7.00E-15
XP_004869689.1,O14495,Mus musculus,LPPR1,Lipid phosphate phosphohydrolase 3 OS=Homo ,3.00E-29
XP_004869688.1,Q5VWT5,Mus musculus,PRKAA2,Uncharacterized protein C1orf168 OS=Homo ,0
XP_004869683.1,P07357,Mus musculus,C6,Complement component C8 alpha chain OS=Homo ,4.00E-68
XP_004869681.1,P07357,Mus musculus,C6,Complement component C8 alpha chain OS=Homo ,7.00E-71
XP_004869678.1,O75553,Mus musculus,DAB1,Disabled homolog 1 OS=Homo sapiens GN=DAB1 ,0
XP_004869675.1,O75553,Mus musculus,DAB1,Disabled homolog 1 OS=Homo sapiens GN=DAB1 ,0
XP_004869674.1,O75553,Mus musculus,DAB1,Disabled homolog 1 OS=Homo sapiens GN=DAB1 ,0
XP_004869630.1,Q8BNW9,Mus musculus,KBTBD11,Kelch repeat and BTB domain-containing ,0
XP_004869629.1,Q8BNW9,Mus musculus,KBTBD11,Kelch repeat and BTB domain-containing ,0
XP_004869611.1,Q86YL5,Mus musculus,C8orf42,Uncharacterized protein C8orf42 OS=Homo ,2.00E-59
XP_004869609.1,Q86YL5,Mus musculus,FBXO25,Uncharacterized protein C8orf42 OS=Homo ,0
XP_004869594.1,Q03626,Mus musculus,A2m,Murinoglobulin-1 OS=Rattus norvegicus GN=Mug1 ,0
XP_004869592.1,Q07108,Mus musculus,Cd69,Early activation antigen CD69 OS=Homo sapiens ,9.00E-78
XP_004869591.1,Q03385,Mus musculus,RALGDS,Ral guanine nucleotide dissociation stimulator ,2.00E-29
XP_004869583.1,Q9GZV9,Mus musculus,Fgf23,Fibroblast growth factor 23 OS=Homo sapiens ,6.00E-90
XP_004869579.1,Q9P0K8,Mus musculus,Foxj2,Forkhead box protein J2 OS=Homo sapiens ,0
XP_004869578.1,Q9P0K8,Mus musculus,Foxj2,Forkhead box protein J2 OS=Homo sapiens ,0
XP_004869577.1,Q9P0K8,Mus musculus,Foxj2,Forkhead box protein J2 OS=Homo sapiens ,0
XP_004869576.1,Q9P0K8,Mus musculus,Foxj2,Forkhead box protein J2 OS=Homo sapiens ,0
XP_004869568.1,P78364,Mus musculus,Phc1,Polyhomeotic-like protein 1 OS=Homo sapiens ,0
XP_004869567.1,P78364,Mus musculus,Phc1,Polyhomeotic-like protein 1 OS=Homo sapiens ,0
XP_004869566.1,P78364,Mus musculus,Phc1,Polyhomeotic-like protein 1 OS=Homo sapiens ,0
XP_004869565.1,P78364,Mus musculus,Phc1,Polyhomeotic-like protein 1 OS=Homo sapiens ,0
XP_004869564.1,P78364,Mus musculus,Phc1,Polyhomeotic-like protein 1 OS=Homo sapiens ,0
XP_004869560.1,Q6IE36,Mus musculus,A2mp,Ovostatin homolog 2 OS=Homo sapiens GN=OVOS2 ,0
XP_004869526.1,Q99622,Mus musculus,Grcc10,Protein C10 OS=Homo sapiens GN=C12orf57 PE=1 ,5.00E-45
XP_004869524.1,P54258,Mus musculus,ATN1,Atrophin-1 OS=Rattus norvegicus GN=Atn1 PE=2 ,7.00E-175
XP_004869518.1,P09104,Mus musculus,ENO2,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 ,0
XP_004869517.1,P09104,Mus musculus,ENO2,Gamma-enolase OS=Homo sapiens GN=ENO2 PE=1 ,0
XP_004869514.1,P56399,Mus musculus,USP5,Ubiquitin carboxyl-terminal hydrolase 5 ,0
XP_004869513.1,P56399,Mus musculus,USP5,Ubiquitin carboxyl-terminal hydrolase 5 ,0
XP_004869509.1,Q8IVL6,Mus musculus,Lepre1,Prolyl 3-hydroxylase 3 OS=Homo sapiens GN=LEPREL2 ,3.00E-133
XP_004869507.1,Q3UN16,Mus musculus,GPR162,Probable G-protein coupled receptor 162 ,0
XP_004869506.1,Q3UN16,Mus musculus,GPR162,Probable G-protein coupled receptor 162 ,0
XP_004869505.1,Q3UN16,Mus musculus,GPR162,Probable G-protein coupled receptor 162 ,0
XP_004869504.1,Q3UN16,Mus musculus,GPR162,Probable G-protein coupled receptor 162 ,0
XP_004869496.1,Q15773,Mus musculus,Mlf2,Myeloid leukemia factor 2 OS=Homo sapiens ,2.00E-23
XP_004869495.1,Q15773,Mus musculus,Mlf2,Myeloid leukemia factor 2 OS=Homo sapiens ,3.00E-23
XP_004869494.1,Q5R762,Mus musculus,QccE-10858,COP9 signalosome complex subunit 7a OS=Pongo ,3.00E-116
XP_004869492.1,Q6P1B3,Mus musculus,QccE-10858,Uncharacterized protein C12orf53 homolog ,2.00E-120
XP_004869491.1,Q6P1B3,Mus musculus,QccE-10858,Uncharacterized protein C12orf53 homolog ,2.00E-120
XP_004869490.1,Q6P1B3,Mus musculus,QccE-10858,Uncharacterized protein C12orf53 homolog ,2.00E-120
XP_004869489.1,Q6P1B3,Mus musculus,QccE-10858,Uncharacterized protein C12orf53 homolog ,2.00E-120
XP_004869488.1,Q6P1B3,Mus musculus,QccE-10858,Uncharacterized protein C12orf53 homolog ,2.00E-120
XP_004869468.1,Q6PDQ2,Mus musculus,CHD4,Chromodomain-helicase-DNA-binding protein ,0
XP_004869454.1,Q9CPY1,Mus musculus,MRPL51,"39S ribosomal protein L51, mitochondrial ",5.00E-73
XP_004869453.1,Q15021,Mus musculus,Ncapd2,Condensin complex subunit 1 OS=Homo sapiens ,0
XP_004869452.1,Q15021,Mus musculus,Ncapd2,Condensin complex subunit 1 OS=Homo sapiens ,0
XP_004869451.1,Q15021,Mus musculus,Ncapd2,Condensin complex subunit 1 OS=Homo sapiens ,0
XP_004869450.1,Q15021,Mus musculus,Ncapd2,Condensin complex subunit 1 OS=Homo sapiens ,0
XP_004869447.1,Q9BX59,Mus musculus,Tapbpl,Tapasin-related protein OS=Homo sapiens ,4.00E-96
XP_004869444.1,P26842,Mus musculus,SCNN1A,CD27 antigen OS=Homo sapiens GN=CD27 PE=1 ,0
XP_004869442.1,P50284,Mus musculus,LTBR,Tumor necrosis factor receptor superfamily ,2.00E-149
XP_004869441.1,P50284,Mus musculus,LTBR,Tumor necrosis factor receptor superfamily ,5.00E-151
XP_004869440.1,P50284,Mus musculus,LTBR,Tumor necrosis factor receptor superfamily ,4.00E-155
XP_004869431.1,P18280,Mus musculus,NTF3,Neurotrophin-3 OS=Rattus norvegicus GN=Ntf3 ,3.00E-168
XP_004869424.1,Q96B01,Mus musculus,Rad51ap1,RAD51-associated protein 1 OS=Homo sapiens ,7.00E-74
XP_004869423.1,Q96B01,Mus musculus,Rad51ap1,RAD51-associated protein 1 OS=Homo sapiens ,3.00E-76
XP_004869418.1,P10767,Mus musculus,Fgf6,Fibroblast growth factor 6 OS=Homo sapiens ,2.00E-109
XP_004869376.1,Q6WRX3,Mus musculus,Zyg11a,Protein zyg-11 homolog A OS=Homo sapiens ,0
XP_004869361.1,P30085,Mus musculus,CMPK1,UMP-CMP kinase OS=Homo sapiens GN=CMPK1 PE=1 ,1.00E-137
XP_004869360.1,Q13461,Mus musculus,Foxe3,Forkhead box protein E3 OS=Homo sapiens ,2.00E-78
XP_004869359.1,O60548,Mus musculus,Foxd2,Forkhead box protein D2 OS=Homo sapiens ,4.00E-74
XP_004869355.1,Q2M3M2,Mus musculus,Slc5a9,Sodium/glucose cotransporter 4 OS=Homo ,0
XP_004869354.1,Q2M3M2,Mus musculus,Slc5a9,Sodium/glucose cotransporter 4 OS=Homo ,0
XP_004869353.1,Q2M3M2,Mus musculus,Slc5a9,Sodium/glucose cotransporter 4 OS=Homo ,0
XP_004869337.1,P26378,Mus musculus,Elavl4,ELAV-like protein 4 OS=Homo sapiens GN=ELAVL4 ,0
XP_004869332.1,Q9UNN5,Mus musculus,Faf1,FAS-associated factor 1 OS=Homo sapiens ,0
XP_004869331.1,Q9UNN5,Mus musculus,Faf1,FAS-associated factor 1 OS=Homo sapiens ,0
XP_004869319.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869317.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869316.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869315.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869314.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869313.1,A2A8Z1,Mus musculus,OSBPL9,Oxysterol-binding protein-related protein ,0
XP_004869312.1,P47245,Mus musculus,NRD1,Nardilysin OS=Rattus norvegicus GN=Nrd1 PE=2 ,0
XP_004869306.1,Q5ZJG3,Mus musculus,Btf3,Transcription factor BTF3 homolog 4 OS=Gallus ,1.00E-35
XP_004869305.1,Q5ZJG3,Mus musculus,Btf3,Transcription factor BTF3 homolog 4 OS=Gallus ,5.00E-69
XP_004869304.1,Q5ZJG3,Mus musculus,Btf3,Transcription factor BTF3 homolog 4 OS=Gallus ,5.00E-69
XP_004869303.1,Q13415,Mus musculus,CDC6,Origin recognition complex subunit 1 OS=Homo ,2.00E-35
XP_004869298.1,Q5TAX3,Mus musculus,Zcchc11,Terminal uridylyltransferase 4 OS=Homo sapiens ,0
XP_004869297.1,Q5TAX3,Mus musculus,Zcchc11,Terminal uridylyltransferase 4 OS=Homo sapiens ,0
XP_004869295.1,Q6UWV7,Mus musculus,Fam159a,Membrane protein FAM159A OS=Homo sapiens ,1.00E-87
XP_004869294.1,Q921H9,Mus musculus,C1orf163,Hcp beta-lactamase-like protein C1orf163 ,1.00E-152
XP_004869293.1,Q9C0D3,Mus musculus,Zyg11b,Protein zyg-11 homolog B OS=Homo sapiens ,0
XP_004869292.1,Q3TLP5,Mus musculus,ECHDC2,Enoyl-CoA hydratase domain-containing protein ,1.00E-146
XP_004869284.1,Q7Z5L7,Mus musculus,Podnl1,Podocan OS=Homo sapiens GN=PODN PE=1 SV=2,2.00E-137
XP_004869279.1,Q6P9G4,Mus musculus,Tmem154,Transmembrane protein 154 OS=Homo sapiens ,5.00E-52
XP_004869276.1,P02675,Mus musculus,Fgb,Fibrinogen beta chain OS=Homo sapiens GN=FGB ,0
XP_004869273.1,P02679,Mus musculus,Fgg,Fibrinogen gamma chain OS=Homo sapiens GN=FGG ,0
